id,target
0fba0d9f66,0
662c27a630,1
3246d3d5e7,0
a6ef7a6781,1
8ea5d8a7e0,0
d4d6acbf6b,0
2d2889b5c3,0
42a8c975d4,0
3e5870d63d,1
70219e19e8,0
8c9a29e471,1
908603e6db,0
e44658074a,1
e10f50af3e,0
e743d3844a,0
57c90468d7,0
0292595352,1
6db1730109,0
b7a5dd5b61,0
1edc1f923a,1
7321fe82b2,0
e5b24da2d2,0
733dd6f19b,0
e1b50f3613,1
8f09babac7,1
17cf7f346a,1
0c57c3a776,1
52ad53860d,0
4b8aca9e03,1
33fa8cd4a3,0
f3d741db69,0
2a7871a5b7,1
ca8ce96f2a,0
e06ec51af5,0
7cc868fcef,1
e1299fb93b,0
1d80f762c8,1
31b182d80a,1
d227d38ade,1
9db063db66,1
2f50ddd5a6,0
4bd1a66511,1
de2ef54600,0
01a5557faa,0
49c19573ff,0
878f0e7d21,0
675baed3c0,0
b85b1142a3,0
1a63eebeca,1
d4b55fc8e7,0
e1c64fa696,0
b2099984fa,0
f1136f710a,1
4f4d6ad855,0
7038bb176d,0
e6fbc2f576,1
c4eb7f7553,0
d997369c27,0
2fa5df55c6,1
770ff4b2e6,1
5257096f04,0
c6a04dee14,0
4e7848b77f,1
659c502c57,0
3a61318303,0
834b98e61f,0
2ed7360abe,1
f8edf1ff9e,0
ea23d40fab,1
b605fe3e98,1
973896767f,0
73195ca0bd,0
2a779908b9,0
953a47b5c2,1
f48ec459dc,0
7baa1d6031,1
aa020960c0,1
16eeb3d2c7,0
8f989d5068,0
78c01a974f,0
46c1056d04,0
2230f662b7,1
4eb5da7d5c,0
ceae66f124,0
db81514cdd,0
c9a874941b,0
f59c83475f,1
1e7259cb58,1
c2c32a8f2e,1
9a88a1ebdb,1
66160df10e,1
262a7123f3,0
de1124ea1b,1
babf8ffed3,0
a94d0ffd79,0
e1bafb040b,0
50f5f5107c,0
1af94f5f59,0
a31a6f38fe,0
7e4b7dd382,0
593d6eee49,1
d56b593b10,1
32425a7fa1,0
988bd3a62d,1
2a34aad474,1
526402895c,1
7e2f736ad6,0
a113028621,1
ad061535a8,0
d25933bdba,0
c8a79a6052,0
6db0e2096f,1
f187aaddf5,1
1742e96065,0
26f78b3db1,0
72c516efbc,1
ab1dbebf9c,0
3b00206cd9,0
87bcac3b0c,0
69cccefb5e,1
240e7158a0,0
402112d52f,0
ae493a3eb7,0
c516599b58,1
2bf927fba5,1
9368471c11,0
2b73157501,1
d7eb140b52,1
44b7bff9b1,1
319ff8d014,0
73b4282731,1
7b57c45526,1
e3e90bb52f,1
323b937ffc,0
cb7502e972,0
dcf52797a2,0
fc71aca0fa,1
4ec362e283,0
5fdbb8e185,1
dcdb4081cf,1
8fc5aa52f9,0
06d43012f6,1
8e00312b65,1
ec95259b2f,1
32db8a85c5,0
d6b31a5e56,1
025f977c9f,0
890d0d15df,0
46d3c2431b,1
87827b0de6,1
ec10c384eb,0
7449a2ac1c,1
53eabf8b66,1
11c1297309,0
1e91a892e8,1
a30fd55333,1
5b5c9ce814,0
87f375d8ef,1
4eec119ab0,1
4288c6362e,1
d62eeb806c,1
4c026f61cc,0
a3236f3e02,0
b5c5fc5fa6,0
df3fa6cc9e,1
2142552c6d,0
fb5f628402,0
1b60de3443,1
564537f2d2,1
370dbb40ff,1
7704303b85,1
cc07744435,1
9227c45a84,0
9c13c328bf,1
e2be527b64,0
5fbf08bd6f,0
0fe4b8d652,1
aa8c95d803,0
127cfeceb0,0
6c2664baab,0
472485ad1a,0
015a16810e,0
2e0cece2d3,0
af1a4ffcdd,1
1bab9e183b,0
9803ad3d9b,0
1cebfefbef,1
8717083dec,0
6975d2f7ec,0
764977533d,1
6ce1825acb,0
8158bcc683,1
0032f12ab1,1
6272b82a8b,1
a1bdce528f,0
a9694440fa,0
e1ce855d18,1
733ff685f3,1
3e7ade9b88,0
664a406ed2,1
60efe09dad,1
b532b58f7b,0
769a71ca76,0
2914123890,1
f79a68214c,1
18e785d003,1
7ba7daefd2,1
b8bec5841d,1
4ac533a31c,0
13759518fd,0
87074c4556,1
db6c4d1a90,0
538753a896,1
d65f84b00d,1
59b11526b8,1
a0b14a400f,1
f3ef76ca50,1
4a5e62166a,0
0f17e4c86c,0
8c0a76cae4,0
b545502990,1
9b5570645d,0
0d7b5d5699,1
3a03dc3dcf,0
adeaca739a,0
0e89825664,0
8504295e04,1
52881e237c,1
8db136ac08,0
db3dfbe5c3,1
9f07f43739,0
c5e6b3aa43,1
ef6e56caf8,1
021c25a5e8,1
4e7190b2d3,1
d8ddbcb0f0,1
fad1ffffd1,1
e7cbceca19,0
d901f46e42,1
515f52eff5,0
bc887ff1f0,1
5a1ae5ec20,0
68ff683594,1
1a1ba973fe,0
bd0f1a50ac,0
bd426c0785,0
253d63ea19,1
1fe44119fe,0
c08fe72362,1
0313b4fbea,1
1466e3e223,1
bc6c385ef5,0
8b06e0a31d,1
973e657716,1
5e226d8cd6,0
f259da60c9,0
fc5bece970,0
b40927d01b,0
707620f6f4,0
de5f994213,0
2f03b04508,1
b09b88a12f,1
400304cae6,0
8569bf20ce,0
1380feabf7,1
949ad105e4,1
7f6fefab16,0
810d3f1682,1
7571565407,1
85a7c139fe,0
09f0c4c410,1
e88ce0df58,1
fc42b442ab,1
08642f434e,1
ae79eb3b2c,1
026a8528e0,1
11086ee248,1
b1887a2a2c,1
061409b660,1
3aec47e060,0
ba7e946888,1
d0b5289794,1
2378612f56,1
a95bf07459,0
092b8b6e8a,0
a647e391e8,1
47e74ad31f,1
8cd3e80377,1
ce1e11da5a,1
34be3f07d4,1
9b58b84239,1
d554e76c04,0
e05e27a2e9,0
d2798834ed,1
26dc9c60e3,0
ed39225395,0
085a8ec08b,1
0ed2e37878,1
faa315935d,1
